step,pop,avg_rep,avg_death,avg_mut
0,0,0,0,0
1,10425,0.04,0.02,0.04
2,23869,0.0399944,0.0200027,0.0400033
3,40501,0.0399987,0.020002,0.040007
4,60424,0.0400012,0.0199992,0.0400036
5,83501,0.0400041,0.0200005,0.0400029
6,108853,0.040004,0.0199987,0.0400049
7,136372,0.040006,0.0200019,0.0400032
8,165103,0.0400085,0.0199987,0.040004
9,194708,0.0400108,0.019998,0.0400026
10,223699,0.0400138,0.0199966,0.040004
11,251726,0.0400151,0.0199968,0.0400043
12,278310,0.0400184,0.0199971,0.0400049
13,303178,0.040019,0.0199971,0.0400056
14,325530,0.04002,0.0199952,0.0400044
15,345912,0.0400208,0.0199952,0.0400046
16,363814,0.0400216,0.0199947,0.0400039
17,379931,0.0400224,0.0199936,0.0400043
18,393995,0.0400234,0.0199914,0.0400035
19,405708,0.0400233,0.0199907,0.0400045
20,416043,0.0400238,0.0199889,0.0400032
21,424946,0.040024,0.0199875,0.0400035
22,432638,0.0400238,0.0199865,0.040004
23,438981,0.0400235,0.0199852,0.0400047
24,444718,0.0400234,0.0199843,0.0400041
25,449284,0.0400232,0.0199821,0.0400035
26,453514,0.0400235,0.019981,0.0400032
27,456756,0.0400232,0.0199791,0.0400033
28,459662,0.0400229,0.0199784,0.0400038
29,462326,0.0400226,0.0199774,0.0400037
30,464314,0.0400226,0.0199757,0.0400039
31,465959,0.0400222,0.0199739,0.0400045
32,467308,0.0400217,0.019972,0.0400047
33,468561,0.0400218,0.0199711,0.0400041
34,469473,0.0400217,0.0199699,0.0400041
35,470330,0.0400224,0.0199686,0.0400044
36,471300,0.0400223,0.0199681,0.0400046
37,472003,0.0400223,0.0199668,0.040004
38,472766,0.0400225,0.019966,0.0400041
39,473060,0.0400226,0.0199647,0.0400038
40,473183,0.0400225,0.019963,0.0400038
41,473532,0.0400228,0.0199617,0.0400041
42,473750,0.0400229,0.019961,0.0400039
43,474230,0.040023,0.01996,0.0400034
44,474402,0.0400226,0.0199587,0.040003
45,474573,0.0400221,0.0199581,0.0400024
46,474521,0.0400225,0.0199574,0.0400024
47,474673,0.0400232,0.0199567,0.0400025
48,474599,0.0400228,0.0199562,0.0400022
49,474826,0.0400235,0.0199553,0.0400021
50,475056,0.040023,0.0199545,0.040002
51,475261,0.0400223,0.0199531,0.0400026
52,475301,0.0400228,0.0199519,0.0400026
53,475380,0.0400221,0.0199503,0.0400022
54,475421,0.0400217,0.0199496,0.0400026
55,475599,0.040022,0.0199486,0.0400022
56,475734,0.0400217,0.0199473,0.0400027
57,475728,0.0400217,0.0199468,0.0400029
58,475725,0.0400215,0.0199459,0.0400029
59,476029,0.0400216,0.0199448,0.0400033
60,475880,0.0400218,0.0199441,0.0400039
61,475894,0.0400217,0.0199428,0.0400039
62,475782,0.0400213,0.0199424,0.0400038
63,476089,0.040021,0.0199414,0.0400037
64,476154,0.040021,0.0199407,0.0400035
65,476219,0.0400208,0.0199408,0.0400036
66,476131,0.0400211,0.0199405,0.0400036
67,476309,0.040021,0.0199396,0.0400037
68,476252,0.0400204,0.0199392,0.0400037
69,476449,0.0400207,0.019938,0.0400034
70,476639,0.0400208,0.0199376,0.0400038
71,476911,0.0400202,0.0199374,0.0400038
72,476317,0.0400198,0.0199374,0.0400037
73,476449,0.0400203,0.0199373,0.0400036
74,476476,0.0400199,0.0199368,0.0400041
75,476199,0.04002,0.0199363,0.0400042
76,476424,0.0400202,0.0199357,0.0400045
77,476359,0.0400199,0.0199356,0.0400045
78,476270,0.04002,0.0199354,0.0400051
79,476335,0.0400201,0.0199356,0.0400042
80,476241,0.0400199,0.019935,0.040004
81,476025,0.0400202,0.0199344,0.0400035
82,475777,0.0400197,0.019933,0.0400029
83,475900,0.0400199,0.0199334,0.0400027
84,475736,0.0400195,0.0199331,0.0400026
85,475999,0.0400198,0.0199332,0.0400031
86,476093,0.0400196,0.0199324,0.0400032
87,476092,0.0400201,0.0199314,0.0400032
88,475999,0.04002,0.0199305,0.0400029
89,475953,0.0400193,0.0199303,0.0400024
